nameDAY,DATE,Target,CAL,Monday,Tuesday,Wednesday,Thursday,Friday,traffic,accident,fix,Rain,Vibhavadi,Khae_Rai_Intersection,PhraNangKlao_Bridge,Rattanathibet,PhongPhet_Intersection,Bangkhen,Kaset_Intersection,Ngamwongwan
พุธ,17/6/2020,0,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
พฤหัสบดี,18/6/2020,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ศุกร์,19/6/2020,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
จันทร์,22/6/2020,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อังคาร,23/6/2020,0,45,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
พุธ,24/6/2020,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
พฤหัสบดี,25/6/2020,0,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ศุกร์,26/6/2020,0,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
จันทร์,29/6/2020,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อังคาร,30/6/2020,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
พุธ,1/7/2020,0,55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
พฤหัสบดี,2/7/2020,0,59,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
ศุกร์,10/7/2020,0,55,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
จันทร์,13/7/2020,0,68,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
พุธ,15/7/2020,0,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
จันทร์,20/7/2020,1,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
อังคาร,21/7/2020,0,57,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
พุธ,22/7/2020,0,60,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
พฤหัสบดี,23/7/2020,0,56,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ศุกร์,24/7/2020,0,67,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0
